,news_text
72,"นายธานี แสงรัตน์ อธิบดีกรมสารนิเทศและโฆษกกระทรวงการต่างประเทศ เปิดเผยว่า หลังจากคณะมนตรีแห่งสหภาพยุโรป หรืออียู ปรับประเทศไทย ออกจาก EU White List เนื่องจาก มีแนวโน้มผู้ติดเชื้อโควิด-19 สูงขึ้น หลายประเทศในอียู ได้ปรับมาตรการสำหรับชาวไทย ในการเดินทางเข้าประเทศ ได้แก่ เยอรมนี ประกาศให้ไทยเป็นพื้นที่เสี่ยงต่อการแพร่ระบาดของโรคโควิด-19 ในระดับพื้นฐาน โดยกำหนดให้ผู้เดินทางจากประเทศไทย ตั้งแต่วันที่ 18 กรกฎาคม ต้องแสดงเหตุผลจำเป็นเร่งด่วนในการเข้าเยอรมนี เช่น การเข้าประเทศเพื่อปฏิบัติราชการ ทำงาน เยี่ยมญาติกรณีเร่งด่วน หรือเป็นนักเรียน/นักศึกษา กรณีเป็นผู้ได้รับการฉีดวัคซีนที่ขึ้นทะเบียนในเยอรมนี ได้แก่ ไฟเซอร์, โมเดอน่า, แอสตร้าเซนเนก้า และจอห์นสันแอนด์จอห์นสัน ครบเกณฑ์แล้วไม่น้อยกว่า 14 วัน สามารถเข้าเยอรมนีได้โดยไม่ต้องแสดงเหตุผล รวมถึงต้องแสดงเอกสารการฉีดวัคซีน การตรวจหาเชื้อโควิด-19 ต้องกักตัวในที่พักเป็นเวลา 10 วัน ยกเว้นฉีดวัคซีนครบตามเกณฑ์ "
73,        คกก.โรคติดต่อจังหวัดฯ ประชาสัมพันธ์ผ่านสื่อ สวท.นครพนม ถึงการปรับมาตรการเพิ่มเติมข้อปฏิบัติผู้ที่เดินทางเข้าจังหวัดนครพนมในกลุ่มที่ฉีดวัคซีน กรณีฉีดวัคซีนเป็น : ฉีดวัคซีนซิโนแวค หรือซิโนฟาร์ม ครบ 2 เข็มมาแล้วมากกว่า 2 สัปดาห์ หรือแอสตร้าเซเนก้า หรือไฟเซอร์ หรือโมเดอร์น่า 1 เข็มมาแล้วมากกว่า 3 สัปดาห์ ต้องมีผล RT-PCR เป็นลบไม่เกิน 72 ชม. ในกรณีไม่มีผลตรวจ RT-PCR ต้องทำ Rapid Antigen Test ทุกราย
74,คณะกรรมการโรคติดต่อจังหวัดเชียงใหม่ เผยเชียงใหม่ยังคงคุมเข้มการสกัดกั้นการแพร่ระบาดของโควิด-19 ในพื้นที่ ล่าสุดได้มีประกาศเพิ่มเติมเกี่ยวกับมาตรการควบคุมผู้เดินทางมาจากพื้นที่ควบคุมสูงสุดและเข้มงวด รวมถึงอำเภอแม่สอด จังหวัดตาก ที่จะเดินทางเข้ามาในพื้นที่จังหวัดเชียงใหม่
75,     สำนักข่าวต่างประเทศ รายงานโดยอ้างผลการวิจัยของหน่วยงานสาธารณสุขอังกฤษ หรือ พีเอชอี ที่ตีพิมพ์ในวารสารทางการแพทย์นิวอิงแลนด์ ที่ระบุว่า การฉีดวัคซีนโควิด-19 ของแอสตราเซเนกา หรือไฟเซอร์-ไบโอเอ็นเทค ครบ 2 โดส มีประสิทธิภาพในการป้องกันเชื้อโควิด-19 สายพันธุ์เดลตา ใกล้เคียงกับประสิทธิภาพในการป้องกันเชื้อสายอัลฟา ที่ระบาดเป็นวงกว้าง ก่อนหน้านี้ 
76,    สำนักข่าวต่างประเทศ รายงานว่า นายกรัฐมนตรีโยชิฮิเดะ ซูงะ ของญี่ปุ่น เตรียมพบกับนายอัลเบิร์ต เบอร์ลา ประธานเจ้าหน้าที่บริหารของบริษัทไฟเซอร์ อิงค์ อย่างเร็วที่สุด ภายในสัปดาห์นี้ เพื่อขอให้บริษัทไฟเซอร์ เร่งจัดส่งวัคซีนโควิด-19 ที่ญี่ปุ่นสั่งซื้อไว้แล้ว จำนวน 20 ล้านโดส ก่อนกำหนด 
77,โปรยหัว:      นับจากนี้ชาวอังกฤษจะสามารถใช้ชีวิตประจำวันได้โดยไร้ข้อจำกัดใดๆในการควบคุมโรค ไม่ต้องเว้นระยะห่าง ไม่ต้องสวมหน้ากากอนามัย ซึ่งนี่คือการเปลี่ยนแปลงครั้งใหญ่ที่เรียกว่า”วันแห่งเสรีภาพ” แต่เสรีภาพครั้งนี้จะยืนยาวเพียงใดในเมื่อขณะนี้อังกฤษยังมีผู้ติดเชื้อโควิด-19 ต่อวันสูง ...ติดตามจากรายงานพิเศษ..//
78,           กระทรวงสาธารณสุขอิสราเอลเปิดเผยเมื่อวานนี้ว่า วัคซีนของไฟเซอร์/ไบโอเอ็นเทค มีประสิทธิภาพในการต่อต้านเชื้อโควิด-19 ลดลงอยู่ที่ร้อยละ 39 โดยตัวเลขใหม่นี้อ้างอิงจากการใช้งานจริงในช่วงระหว่างวันที่ 20 มิถุนายน-17 กรกฎาคม พร้อมระบุด้วยว่า ประสิทธิภาพของวัคซีนไฟเซอร์/ไบโอเอ็นเทค ลดลงต่อเนื่อง ท่ามกลางการแพร่ระบาดของเชื้อกลายพันธุ์สายพันธุ์เดลตาในประเทศ
79,"   เวียดนามกำลังเผชิญกับผู้ติดเชื้อโควิด-19 รายวันพุ่งสูงขึ้น โดยเมื่อวานนี้วันเดียวพบผู้ติดเชื้อถึง 6,194 คน ซึ่งเป็นสถิติรายวันสูงสุด ทำให้มียอดผู้ติดเชื้อสะสมแล้วอย่างน้อย 74,371 คน    ขณะที่การฉีดวัคซีนในเวียดนามยังเป็นไปอย่างล่าช้า ด้วยปัจจัยหลายประการ และขณะนี้รัฐบาลเวียดนามกำลังเจรจากับรัฐบาลสหรัฐ เกี่ยวกับความเป็นไปได้เรื่องการรับการถ่ายทอดเทคโนโลยีจากผู้ผลิตวัคซีนชนิดเอ็มอาร์เอ็นเอ และการตั้งโรงงานในเวียดนาม ซึ่งหากประสบความสำเร็จ แผนการก่อสร้างเร็วที่สุด น่าจะเกิดขึ้นได้ภายในไตรมาสสุดท้ายของปีหน้า                         อย่างไรก็ตามทางไฟเซอร์และโมเดอร์นายังปฏิเสธที่จะให้ความเห็นในเรื่องนี้."
80, กระทรวงสาธารณสุขอิสราเอลเปิดเผยเมื่อวานนี้ว่า วัคซีนของไฟเซอร์/ไบโอเอ็นเทค มีประสิทธิภาพในการป้องกันเชื้อโควิด-19 ลดลงเหลือร้อยละ 39 โดยตัวเลขใหม่นี้อ้างอิงจากการใช้งานจริงช่วงระหว่างวันที่ 20 มิถุนายน-17 กรกฎาคม พร้อมระบุด้วยว่า ประสิทธิภาพของวัคซีนไฟเซอร์/ไบโอเอ็นเทค ลดลงต่อเนื่อง ในช่วงที่เชื้อกลายพันธุ์สายพันธุ์เดลตาแพร่ระบาดในประเทศ
81,"พญ.อภิสมัย ศรีรังสรรค์ ผู้ช่วยโฆษกศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (โควิด-19) หรือ ศบค. รายงานตัวเลขผู้ติดเชื้อโควิด -19 วันนี้ เพิ่มขึ้น 14,575 ราย ผู้ป่วยยืนยันสะสม 467,707 ราย หายป่วยเพิ่ม 7,775 ราย รวมหายป่วยแล้ว 320,152 ราย รักษาตัวอยู่ที่โรงพยาบาล 143,744 ราย เป็นผู้ป่วยอาการหนัก 3,984 ราย, ใส่เครื่องช่วยหายใจ 900 ราย เสียชีวิตเพิ่ม 114 คน ผู้เสียชีวิตสะสมรวม 3,811 คน ผู้ป่วยยืนยันสะสมรอกใหม่ ตั้งแต่วันที่ 1 เมษายน 2563 - 23 กรกฎาคม 2564 จำนวน 438,844 ราย "
82,สรุปข่าวประจำสัปดาห์ ( 19 - 22 กรกฎาคม 2564 )
83,             คณะผู้เขียนรายงานผลวิจัยภายใต้การควบคุมของมหาวิทยาลัยออกซ์ฟอร์ดในอังกฤษระบุว่า  การเว้นระยะห่างฉีดวัคซีนโควิด-19ของไฟเซอร์/ไบโอเอ็นเทคนานขึ้นระหว่างโดสหนึ่งกับโดสสอง
84, 
85,
86,
87,
88,    องค์การยาแห่งยุโรปอนุมัติใช้วัคซีนโควิด-19 ของโมเดอร์นาหรือสไปค์แวกซ์ในเด็กวัยรุ่น อายุ 12-17 ปีแล้วเมื่อวานนี้ นับเป็นวัคซีนขนานที่สองที่ได้รับการอนุมัติใช้กับเด็กวัยรุ่นในยุโรป  หลังจากมีการอนุมัติใช้วัคซีนของไฟเซอร์/ไบโอเอ็นเทค ในเด็กช่วงอายุดังกล่าวเมื่อเดือนพฤษภาคมที่ผ่านมา โดยการฉีดวัคซีนให้เด็กวัยรุ่นนั้นมีความสำคัญต่อการสร้างภูมิคุ้มกันหมู่ในการต่อต้านเชื้อโควิด-19 ท่ามกลางการแพร่ระบาดของเชื้อกลายพันธุ์สายพันธุ์เดลตา
89,
90,
91,        นายแรนดีพ กูเลเรีย ผู้อำนวยการสถาบันสุขภาพในกรุงนิวเดลีของอินเดียกล่าววานนี้ว่า มีแนวโน้มว่าอินเดียจะเริ่มฉีดวัคซีนโควิด-19 ให้เด็กภายในเดือนกันยายนนี้ นับเป็นการเคลื่อนไหวที่จะยับยั้งห่วงโซ่การแพร่เชื้อโรคดังกล่าว
92, องค์การยาแห่งยุโรปอนุมัติใช้วัคซีนโควิด-19 ของโมเดอร์นาหรือสไปค์แวกซ์ในเด็กวัยรุ่น อายุ 12-17 ปีแล้วเมื่อวานนี้ นับเป็นวัคซีนขนานที่สองที่ได้รับการอนุมัติใช้กับเด็กวัยรุ่นในยุโรป หลังจากมีการอนุมัติใช้วัคซีนของไฟเซอร์/ไบโอเอ็นเทคในเด็กช่วงอายุดังกล่าวเมื่อเดือนพฤษภาคมที่ผ่านมาโดยการฉีดวัคซีนให้เด็กวัยรุ่นมีความสำคัญต่อการสร้างภูมิคุ้มกันหมู่ในการต่อต้านเชื้อโควิด-19 ท่ามกลางการแพร่ระบาดของเชื้อกลายพันธุ์สายพันธุ์เดลตา
93,"นพ.รุ่งเรือง กิจผาติ ที่ปรึกษาระดับกระทรวงและโฆษกกระทรวงสาธารณสุข กล่าวถึงว่าจากกรณีที่มีการเผยเเพร่ในโลกออนไลน์เรื่องการจัดสรรวัคซีนไฟเซอร์ ให้แก่บุคลากรทางการแพทย์และด่านหน้า เพียง 200,000 โดส กระทรวงสาธารณสุข ยืนยัน เป็นข้อมูลที่ไม่จริง ซึ่งข้อมูลที่ถูกต้องบุคลากรทางการเเพทย์และบุคคลากรด้านหน้าทุกคนที่มีความเสี่ยง จะได้รับการฉีดไฟเซอร์ จำนวน 5 แสนโดส เพื่อกระตุ้นเป็นเข็มสาม คาดว่าจะฉีดภายในต้นเดือนสิงหาคมนี้ และขณะนี้มีบุคลากรทางการแพทย์บางส่วน ได้รับวัคซีนเข็มสามเป็นแอตร้าเซนเนก้าแล้ว และพบข้อมูลหลังฉีดไปแล้วมีภูมิคุ้มกันที่เพิ่มขึ้น "
94,    สำนักข่าวต่างประเทศ รายงานโดยอ้างการเปิดเผยของ กระทรวงสาธารณสุขอิสราเอล ที่ระบุว่า วัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค มีประสิทธิภาพลดลงในการป้องกันเชื้อโควิด-19 สายพันธุ์เดลตา แต่การฉีดวัคซีนดังกล่าว ครบ 2 โดส ยังคงมีประสิทธิภาพ ในการป้องกันการที่ผู้ป่วยโรคโควิด-19 ต้องเข้ารักษาตัวในโรงพยาบาล และยังป้องกันอาการป่วยรุนแรงได้เป็นอย่างดี
95,           สำนักข่าวต่างประเทศ รายงานโดยอ้างการเปิดเผยของ กระทรวงสาธารณสุขอิสราเอล ที่ระบุว่า วัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค มีประสิทธิภาพลดลงในการป้องกันเชื้อโควิด-19 สายพันธุ์เดลตา แต่การฉีดวัคซีนดังกล่าว ครบ 2 โดส ยังคงมีประสิทธิภาพ ในการป้องกันการที่ผู้ป่วยโรคโควิด-19 ต้องเข้ารักษาตัวในโรงพยาบาล และยังป้องกันอาการป่วยรุนแรงได้เป็นอย่างดี
96,นพ.โอภาส การย์กวินพงศ์ อธิบดีกรมควบคุมโรค กล่าวถึงกรณีวัคซีนไฟเซอร์ 1.5 ล้านโดส  กำหนดการเครื่องบินขนส่งวัคซีน จะออกเดินทางจากสหรัฐอเมริกาในวันที่ 29 กรกฎาคม 2564  โดยคาดว่าจะถึงประเทศไทยในวันถัดไป ทราบว่าเบื้องต้นมีการตรวจสอบคุณภาพของวัคซีนล็อตดังกล่าวมาแล้ว เมื่อมาถึงก็สามารถตรวจสอบเอกสารต่างๆ ให้ครบถ้วนก่อนการกระจายลงพื้นที่ ทั้งนี้ สิ่งสำคัญคือ วัคซีนไฟเซอร์ ต้องเก็บในอุณหภูมิ -70 องศาเซลเซียส เมื่อมาถึงจึงต้องรีบนำเข้าคลังที่มีอุณหภูมิตามกำหนด จากนั้นจะดูว่าต้องกระจายไปจังหวัดใดบ้าง
97,
98,
99,
100,
101,
102,
103,ประมวลข่าวทั่วไทยประจำวันที่ 29 กรกฎาคม 2564
104, ไฟเซอร์ บริษัทชีวเภสัชภัณฑ์ของสหรัฐระบุว่า วัคซีนโควิด-19โดสสามของไฟเซอร์/                   ไบโอเอ็นเทค สามารถกระตุ้นภูมิคุ้มกันได้ดียิ่งขึ้นในการต่อต้านเชื้อกลายพันธุ์สายพันธุ์เดลตา           โดยระดับแอนติบอดีในกลุ่มผู้มีอายุ 18-55 ปี ที่ได้รับวัคซีนไฟเซอร์/ไบโอเอ็นเทคโดสสาม สูงกว่า หลังการรับวัคซีนโดส 2 ถึง 5 เท่า ขณะที่ในกลุ่มอายุ 65-85 ปี ระดับแอนติบอดีเพิ่มขึ้น 11 เท่า อย่างไรก็ตามข้อมูลดังกล่าวยังไม่ได้รับการตรวจสอบจากผู้เชี่ยวชาญ ทำให้ยังไม่แน่ชัดว่าระดับแอนติบอดีที่เพิ่มขึ้นมีความสัมพันธ์กับปัจจัยอื่นด้วยหรือไม่    ทั้งนี้สำนักข่าวซีเอ็นเอ็นรายงานอ้างคำกล่าวของดร.มิคาเอล ดอลสเตน ผู้นำด้านการวิจัย การพัฒนา และการแพทย์ทั่วโลกของไฟเซอร์ ว่า ไฟเซอร์จะยื่นขออนุมัติการฉีดวัคซีนโดสสาม เป็นกรณีฉุกเฉินอย่างเร็วที่สุดในเดือนหน้า.
105,       สำนักงานคณะกรรมการอาหารและยาสหรัฐ หรือ เอฟดีเอ อนุมัติให้ขยายอายุการเก็บรักษา วัคซีนโควิด-19 ของจอห์นสัน แอนด์ จอห์นสัน ออกไปเป็น 6 เดือน จากปัจจุบันที่กำหนดอายุการใช้งานเพียง 4 เดือนครึ่ง โดยสามารถเก็บรักษาในอุณหภูมิตู้เย็นปกติ คือ 2-8 องศาเซลเซียส และ วัคซีนยังมีคุณภาพดีคงที่ เมื่อเก็บรักษาอยู่ในระยะเวลาดังกล่าว            ทั้งนี้วัคซีนของจอห์นสันแอนด์จอห์นสันได้รับการอนุมัติใช้แป็นกรณีฉุกเฉินในสหรัฐ                เมื่อเดือนกุมภาพันธ์ที่ผ่านมา ซึ่งในขณะนั้นระบุอายุการใช้งานผลิตภัณฑ์ไว้นานสูงสุด 3 เดือน               เมื่อเก็บรักษาในอุณหภูมิตู้เย็นปกติ และขยายเป็น 4 เดือนครึ่ง เมื่อเดือนมิถุนายน ขณะที่วัคซีนของไฟเซอร์/ไบโอเอ็นเทค และโมเดอร์นา มีอายุการใช้งานนาน 6 เดือน แต่การเก็บรักษาวัคซีนสองขนานนี้ยุ่งยากกว่า เนื่องจากต้องอยู่ในอุณหภูมิเย็นจัดประมาณ -70 องศาเซลเซียส.
106,  สำนักงานคณะกรรมการอาหารและยาสหรัฐ หรือ เอฟดีเอ อนุมัติให้ขยายอายุการเก็บรักษา วัคซีนโควิด-19 ของจอห์นสัน แอนด์ จอห์นสัน ออกไปเป็น 6 เดือน จากปัจจุบันที่กำหนดอายุการใช้งานเพียง 4 เดือนครึ่ง โดยสามารถเก็บรักษาในอุณหภูมิตู้เย็นปกติ คือ 2-8 องศาเซลเซียส และ วัคซีนยังมีคุณภาพดีคงที่ เมื่อเก็บรักษาอยู่ในระยะเวลาดังกล่าว
107,
108,        สถานเอกอัครราชทูตสหรัฐฯ ประจำประเทศไทย โพสต์ข้อความเมื่อเช้าวันนี้ว่า “วัคซีนไฟเซอร์ 1.5 ล้านโดส” ที่บริจาคโดยสหรัฐอเมริกา เดินทางถึงไทยแล้ว พร้อมสำหรับส่งมอบให้กับกระทรวงสาธารณสุข โดยจะมีการเตรียมการ ทั้งการเก็บรักษา การผสมวัคซีน หรือการนัดหมายการฉีด โดยมี นายอนุทิน ชาญวีรกูล. รองนายกรัฐมนตรีแลรัฐมนตรีว่าการกระทรวงสาธารณสุข บุคลากรกระทรวงสาธารณสุข เจ้าหน้าที่ และหน่วยงานที่เกี่ยวข้องเป็นผู้รับมอบ โดยวันนี้จะมีการอบรมให้กับบุคลากรทั่วประเทศในรูปแบบระบบออนไลน์ 
109, 
110,           สำนักข่าวประเทศรายงานว่า ประธานาธิบดีไอแซค เฮอร์ซ็อก ของอิสราเอล วัย 60 ปี เข้ารับการฉีดวัคซีนของโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค เข็มที่สามแล้ว เมื่อวานนี้ ที่ศูนย์การแพทย์ในนครเทลอาวีฟ หลังรัฐบาลอิสราเอล ประกาศเริ่มโครงการฉีดวัคซีนโควิด-19 เข็มที่สาม ให้ผู้ที่มีอายุตั้งแต่ 60 ปี ขึ้นไป เพื่อกระตุ้นภูมิคุ้มกันในกลุ่มผู้สูงอายุ และควบคุมการระบาดของเชื้อสายพันธุ์เดลตา
111,"นายแพทย์สุวรรณชัย วัฒนายิ่งเจริญชัย อธิบดีกรมอนามัย กล่าวว่า สถานการณ์การแพร่ระบาดของโรคโควิด-19 ในกลุ่มเด็กปฐมวัย อายุต่ำกว่า 6 ปี ตั้งแต่วันที่ 1 ธันวาคม 2563 – 25 กรกฎาคม 2564 พบมีเด็กอายุต่ำกว่า 6 ปี ติดเชื้อ 13,444 ราย มีอาการรุนแรง 791 ราย และเสียชีวิต 2 ราย เป็นเด็กวัย 1 เดือน และ 2 เดือน โดยพบเด็กทั้ง 2 รายที่เสียชีวิต เนื่องจากมีโรคประจำตัวคือ โรคหัวใจพิการแต่กำเนิดชนิดรุนแรง และสัมผัสบุคคลที่เป็นโรคในครอบครัว และเริ่มมีความเสี่ยงที่โรคจะรุนแรงขึ้นเรื่อยๆ "
112,"นพ.สุระ วิเศษศักดิ์ รองปลัดกระทรวงสาธารณสุข เปิดเผยถึงการจัดสรรวัคซีนไฟเซอร์ ที่ได้รับสนับสนุนจากอเมริกา 1.5 ล้านโดส ซึ่งจำนวนนี้ 700,000 โดส แบ่งให้สำหรับฉีดเป็นเข็ม 3 กระตุ้นภูมิคุ้มกันให้บุคลากรด่านหน้า ว่า เป็นตัวเลขที่จัดสรรจากฐานข้อมูลของกระทรวงสาธารณสุข แต่เมื่อได้ยอดเข้ามาชัดเจนแล้ว ส่วนของบุคลากรฉีดแอสตร้าเซนเนก้าเป็นเข็มที่ 3 ไปก่อนแล้ว จะหักออกแล้วจัดสรรให้กับกลุ่มอื่นต่อไป ซึ่งที่ประชุมศูนย์ปฏิบัติการฉุกเฉินด้านการแพทย์และสาธารณสุข (EOC) กรณีโรคโควิด-19 ที่มีนพ.เกียรติภูมิ วงศ์รจิต ปลัดกระทรวงสาธารณสุขเป็นประธาน เมื่อเช้าที่ผ่านมา (31 ก.ค.) เห็นว่ายังมีกลุ่มที่มีความเสี่ยงในการดูแลคนไข้ที่ติดโควิดได้ เช่น บุคลากรทางการแพทย์ ที่แม้จะไม่ได้อยู่ด่านหน้าโดยตรง แต่ก็มีความเสี่ยง จึงจะมีการพิจารณาตรงนี้เพิ่มเติมให้ ทั้งนี้กระทรวงสาธารณสุขได้เสนอ ศบค. ไปว่าวัคซีนไฟเซอร์ล็อตนี้ให้เป็นเข็ม 3 สำหรับบุคลากรการแพทย์ด่านหน้า ศบค.ก็รับทราบแบบนั้น จึงต้องจัดตามแบบนี้ไปก่อน ส่วนรอบถัดไปต้องมีการผ่อนคลายมากขึ้น"
